code,name,sector,close,day_change,turnover,avg_range,vol_ratio,week_high,week_low,high52w,rank,type,sector_score,composite
4973,日本高純度化学,化学,5110,3.65,13.5,3.0,6.9,5450,4820,5790,厳選,順張り,3.07,13.675
6526,ソシオネクスト,電気機器,2046,2.2,202.4,4.1,1.4,2145,1795,2299,厳選,順張り,1.8,9.6
3436,ＳＵＭＣＯ,金属製品,2242,3.65,189.5,5.3,0.8,2331,2041,2450,厳選,順張り,3.93,9.6
6594,ニデック,電気機器,2465,2.88,126.4,3.3,1.0,2504,2331,2698,厳選,順張り,2.48,9.48
4186,東京応化工業,化学,9069,1.98,104.9,4.0,1.2,9460,8769,9957,厳選,順張り,1.4,8.8
6701,日本電気,電気機器,4513,5.15,932.2,2.8,2.7,4613,4258,5793,補欠,順張り,4.75,13.4
6332,月島ホールディングス,機械,3055,3.81,23.2,2.7,4.4,3140,2841,3520,補欠,順張り,3.66,12.96
1814,大末建設,建設業,3500,5.58,12.1,2.7,3.8,3535,3250,4505,補欠,順張り,2.32,10.525
1605,ＩＮＰＥＸ,鉱業,4074,2.65,375.3,3.9,0.7,4098,3785,4955,補欠,順張り,2.58,8.98
2760,東京エレクトロン　デバイス,卸売業,3415,4.59,11.0,2.7,2.7,3495,3155,3860,補欠,順張り,4.34,8.950000000000001
