code,name,sector,close,day_change,turnover,avg_range,vol_ratio,week_high,week_low,high52w,rank,type,sector_score,warning_flags,warning_label,sector_short_ratio,sector_short_status,sector_short_label,composite
3993,ＰＫＳＨＡ　Ｔｅｃｈｎｏｌｏｇｙ,情報・通信業,3170,7.42,54.3,4.0,4.7,3185,2681,3430,厳選,順張り,5.0,[],,0.43224586064791076,中立,📊業種空売り中立(43.2%),15.115
3436,ＳＵＭＣＯ,金属製品,3920,1.92,731.2,9.0,0.9,4245,3281,5939,厳選,順張り,1.35,[],,0.41829587401291013,中立,📊業種空売り中立(41.8%),8.15
4071,プラスアルファ・コンサルティング,情報・通信業,2224,5.25,15.4,3.7,2.2,2405,2014,2997,厳選,順張り,2.83,[],,0.43224586064791076,中立,📊業種空売り中立(43.2%),8.0
5101,横浜ゴム,ゴム製品,7850,2.94,78.6,3.9,0.8,8291,7376,8291,厳選,順張り,1.99,[],,0.44076328358287714,中立,📊業種空売り中立(44.1%),7.52
4307,野村総合研究所,情報・通信業,5131,3.09,141.3,3.4,0.9,5194,4766,5620,厳選,順張り,0.67,[],,0.43224586064791076,中立,📊業種空売り中立(43.2%),7.470000000000001
4390,ＩＰＳ,情報・通信業,4045,8.16,6.2,4.2,2.0,4050,3530,4300,補欠,順張り,5.73,[],,0.43224586064791076,中立,📊業種空売り中立(43.2%),7.31
3382,セブン＆アイ・ホールディングス,小売業,2070,1.07,162.5,2.8,0.8,2107,2038,2266,補欠,順張り,0.55,[],,0.41629078218038734,中立,📊業種空売り中立(41.6%),7.15
2875,東洋水産,食料品,10610,1.24,66.8,3.0,1.4,10730,10360,11560,補欠,順張り,0.07,[],,0.4201329854347514,中立,📊業種空売り中立(42.0%),6.209999999999999
4109,ステラ　ケミファ,化学,5700,2.89,7.5,5.1,1.3,5800,4970,8100,補欠,順張り,2.82,[],,0.3780756769189631,空売り低位,📈業種空売り低位(37.8%),5.795
2768,双日,卸売業,5684,1.39,66.3,2.6,0.9,5736,5552,5989,補欠,順張り,0.23,[],,0.39385909448474826,空売り低位,📈業種空売り低位(39.4%),5.345000000000001
