code,name,sector,close,day_change,turnover,avg_range,vol_ratio,week_high,week_low,high52w,rank,type,sector_score,composite
4092,日本化学工業,化学,3595,2.86,41.4,3.8,8.6,4055,2960,4055,厳選,順張り,2.67,14.74
6961,エンプラス,電気機器,16660,5.58,79.9,5.3,2.6,17600,13750,17600,厳選,順張り,5.41,12.195
5713,住友金属鉱山,非鉄金属,10645,2.36,588.2,4.0,1.4,11150,9755,13300,厳選,順張り,4.7,10.8
4506,住友ファーマ,医薬品,2192,7.71,236.4,5.4,1.3,2212,1928,3288,厳選,順張り,6.19,10.6
6506,安川電機,電気機器,5277,2.45,248.3,3.2,1.3,5376,4637,5599,厳選,順張り,2.28,9.879999999999999
6701,日本電気,電気機器,4269,4.56,552.3,2.6,1.8,4323,3792,6036,補欠,順張り,4.39,11.6
6501,日立製作所,電気機器,5220,5.31,1151.0,2.6,1.7,5233,4770,6039,補欠,順張り,5.14,11.4
6301,小松製作所,機械,7203,2.48,298.6,2.5,1.1,7245,6739,7840,補欠,順張り,3.17,10.2
8308,りそなホールディングス,銀行業,1930,3.46,198.0,2.9,1.4,1947,1857,2193,補欠,順張り,2.27,10.07
9843,ニトリホールディングス,小売業,2502,4.73,96.8,2.9,1.0,2514,2364,3493,補欠,順張り,4.77,9.84
