code,name,sector,close,day_change,turnover,avg_range,vol_ratio,week_high,week_low,high52w,rank,type,sector_score,warning_flags,warning_label,sector_short_ratio,sector_short_status,sector_short_label,composite
6323,ローツェ,機械,4496,3.52,180.9,7.4,1.5,5149,4200,5199,厳選,順張り,2.97,[],,0.4345585459575945,中立,📊業種空売り中立(43.5%),10.97
6806,ヒロセ電機,電気機器,28150,3.95,81.8,3.6,1.8,28505,25940,32210,厳選,順張り,2.72,[],,0.26461294409391795,空売り低位,📈業種空売り低位(26.5%),10.41
6976,太陽誘電,電気機器,12535,6.73,3830.4,12.4,1.2,14150,10150,24065,厳選,順張り,5.5,[],,0.26461294409391795,空売り低位,📈業種空売り低位(26.5%),10.4
4062,イビデン,電気機器,18250,4.79,1878.0,9.0,1.1,19820,14860,27480,厳選,順張り,3.56,[],,0.26461294409391795,空売り低位,📈業種空売り低位(26.5%),10.2
6971,京セラ,電気機器,3780,3.11,304.7,3.5,1.2,3817,3471,4019,厳選,順張り,1.88,[],,0.26461294409391795,空売り低位,📈業種空売り低位(26.5%),9.28
8058,三菱商事,卸売業,4888,4.8,604.7,2.6,1.4,4947,4374,6012,補欠,順張り,4.36,[],,0.4174531726580056,中立,📊業種空売り中立(41.7%),10.8
8053,住友商事,卸売業,1604,1.94,166.5,2.7,0.9,1623,1489,1943,補欠,順張り,1.5,[],,0.4174531726580056,中立,📊業種空売り中立(41.7%),8.3
8002,丸紅,卸売業,5260,1.27,197.1,2.8,0.9,5338,4901,6160,補欠,順張り,0.83,[],,0.4174531726580056,中立,📊業種空売り中立(41.7%),7.63
5801,古河電気工業,非鉄金属,3525,3.1,612.4,6.9,0.7,3793,3079,6241,補欠,順張り,1.11,[],,0.4047837511470918,中立,📊業種空売り中立(40.5%),7.51
6305,日立建機,機械,5294,1.67,61.5,2.5,1.5,5375,5042,5765,補欠,順張り,1.12,[],,0.4345585459575945,中立,📊業種空売り中立(43.5%),7.195
