code,name,sector,close,day_change,turnover,avg_range,vol_ratio,week_high,week_low,high52w,rank,type,sector_score,warning_flags,warning_label,sector_short_ratio,sector_short_status,sector_short_label,composite
4004,レゾナック・ホールディングス,化学,16395,8.18,1198.8,6.5,2.6,17030,13250,20495,厳選,順張り,7.56,['jsf_restricted'],⚠️日証金規制,0.4013628682390331,中立,📊業種空売り中立(40.1%),13.2
5714,ＤＯＷＡホールディングス,非鉄金属,9137,2.58,157.5,3.5,3.2,9415,7907,12380,厳選,順張り,1.57,[],,0.39639879664984107,空売り低位,📈業種空売り低位(39.6%),12.97
5805,ＳＷＣＣ,非鉄金属,12960,8.36,136.4,5.5,2.3,13100,10680,19570,厳選,順張り,7.34,[],,0.39639879664984107,空売り低位,📈業種空売り低位(39.6%),12.6
5838,楽天銀行,銀行業,5777,4.66,134.7,3.8,2.0,5832,5192,7026,厳選,順張り,5.13,[],,0.3826424571288166,空売り低位,📈業種空売り低位(38.3%),12.0
6140,旭ダイヤモンド工業,機械,1271,7.44,24.6,4.5,3.1,1322,1075,1439,厳選,順張り,8.66,[],,0.4366332873866247,中立,📊業種空売り中立(43.7%),10.43
3405,クラレ,化学,1954,3.66,137.1,2.6,3.6,2088,1757,2088,補欠,順張り,3.04,[],,0.4013628682390331,中立,📊業種空売り中立(40.1%),15.2
9075,福山通運,陸運業,6090,7.79,20.7,3.0,2.8,6330,5650,7100,補欠,順張り,6.47,[],,0.5061836187357646,中立,📊業種空売り中立(50.6%),9.635
6504,富士電機,電気機器,14630,2.09,122.8,4.6,0.8,15240,13625,17800,補欠,順張り,3.69,[],,0.4218642664480893,中立,📊業種空売り中立(42.2%),9.6
4062,イビデン,電気機器,19110,0.53,1826.3,8.5,1.1,20330,15165,27480,補欠,順張り,2.12,[],,0.4218642664480893,中立,📊業種空売り中立(42.2%),9.32
7011,三菱重工業,機械,4044,1.15,582.1,3.5,0.7,4155,3621,4543,補欠,順張り,2.38,[],,0.4366332873866247,中立,📊業種空売り中立(43.7%),8.78
