code,name,sector,close,day_change,turnover,avg_range,vol_ratio,week_high,week_low,high52w,rank,type,sector_score,warning_flags,warning_label,sector_short_ratio,sector_short_status,sector_short_label,composite
7211,三菱自動車工業,輸送用機器,368,1.93,112.3,3.4,2.4,389,328,415,厳選,順張り,2.58,[],,0.530769537734186,中立,📊業種空売り中立(53.1%),12.379999999999999
7936,アシックス,その他製品,4886,6.7,251.9,3.2,1.5,4930,4495,5149,厳選,順張り,6.76,[],,0.4130627355554116,中立,📊業種空売り中立(41.3%),11.0
3563,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,小売業,5078,5.66,132.7,4.5,1.1,5122,4515,5587,厳選,順張り,5.9,[],,0.49670339711212574,中立,📊業種空売り中立(49.7%),10.2
6104,芝浦機械,機械,4905,2.83,11.9,4.3,1.1,5090,4335,5170,厳選,順張り,4.28,[],,0.47090721758285187,中立,📊業種空売り中立(47.1%),5.795
3994,マネーフォワード,情報・通信業,5071,2.76,35.0,4.9,1.6,5145,4648,5869,厳選,順張り,-58.78,[],,0.43033662950997753,中立,📊業種空売り中立(43.0%),1.9500000000000002
8551,北日本銀行,銀行業,6110,7.19,9.7,3.0,6.3,6500,5580,6500,補欠,順張り,6.63,[],,0.4100893389943309,中立,📊業種空売り中立(41.0%),13.485
6118,アイダエンジニアリング,機械,1250,5.93,8.4,2.7,3.3,1323,1148,1362,補欠,順張り,7.38,[],,0.47090721758285187,中立,📊業種空売り中立(47.1%),10.02
9501,東京電力ホールディングス,電気・ガス業,485,1.02,130.5,4.1,0.8,497,456,663,補欠,順張り,2.18,[],,0.45013855471472736,中立,📊業種空売り中立(45.0%),8.780000000000001
7532,パン・パシフィック・インターナショナルホールディングス,小売業,872,2.62,69.5,2.6,0.8,882,838,972,補欠,順張り,2.86,[],,0.49670339711212574,中立,📊業種空売り中立(49.7%),7.9350000000000005
7974,任天堂,その他製品,7106,1.08,575.4,2.7,0.9,7276,6952,8670,補欠,順張り,1.13,[],,0.4130627355554116,中立,📊業種空売り中立(41.3%),7.93
