code,name,sector,close,day_change,turnover,avg_range,vol_ratio,week_high,week_low,high52w,rank,type,sector_score,composite
3436,ＳＵＭＣＯ,金属製品,2327,3.98,436.5,5.1,1.9,2450,1988,2450,厳選,順張り,3.61,11.8
5805,ＳＷＣＣ,非鉄金属,14720,7.37,87.1,4.3,1.8,15050,13630,17900,厳選,順張り,4.94,10.954999999999998
6504,富士電機,電気機器,12240,6.71,114.4,3.4,1.2,12240,11185,13945,厳選,順張り,4.4,10.4
5706,三井金属,非鉄金属,37750,5.77,843.4,5.2,1.1,39830,34800,39830,厳選,順張り,3.35,10.2
8136,サンリオ,卸売業,1053,3.85,275.1,3.8,1.1,1079,954,1235,厳選,順張り,3.45,10.2
6479,ミネベアミツミ,電気機器,3011,5.15,119.3,2.8,1.8,3033,2730,3542,補欠,順張り,2.84,11.44
4755,楽天グループ,サービス業,828,4.79,161.4,2.5,1.5,832,758,1001,補欠,順張り,4.68,11.0
7261,マツダ,輸送用機器,1110,2.97,113.0,2.7,1.5,1131,1030,1395,補欠,順張り,2.36,10.36
9843,ニトリホールディングス,小売業,2556,2.16,126.4,2.9,1.3,2572,2364,3493,補欠,順張り,2.65,10.25
7201,日産自動車,輸送用機器,369,2.13,114.1,2.6,1.1,375,345,466,補欠,順張り,1.52,8.72
