code,name,sector,close,day_change,turnover,avg_range,vol_ratio,week_high,week_low,high52w,rank,type,sector_score,composite
6504,富士電機,電気機器,13040,6.8,219.7,3.5,2.1,13230,11590,13945,厳選,順張り,5.87,12.2
6965,浜松ホトニクス,電気機器,2053,6.87,109.0,3.2,1.9,2068,1879,2384,厳選,順張り,5.95,11.8
6645,オムロン,電気機器,5275,3.57,130.0,3.3,1.8,5345,4937,5655,厳選,順張り,2.65,11.25
6315,ＴＯＷＡ,機械,2742,5.5,89.1,4.2,1.3,2779,2542,3205,厳選,順張り,4.1,10.055
5016,ＪＸ金属,非鉄金属,4860,5.08,1485.8,5.3,0.9,5015,4576,5574,厳選,順張り,4.55,9.8
2760,東京エレクトロン　デバイス,卸売業,3620,6.0,22.3,2.8,4.4,3620,3155,3860,補欠,順張り,6.02,12.915000000000001
6701,日本電気,電気機器,4625,2.48,628.0,2.8,1.7,4707,4258,5716,補欠,順張り,1.56,9.96
6702,富士通,電気機器,3825,3.49,368.3,2.5,1.1,3910,3686,4467,補欠,順張り,2.57,9.77
6370,栗田工業,機械,8303,6.5,63.6,2.6,1.7,8303,7708,8882,補欠,順張り,5.11,9.58
6301,小松製作所,機械,7053,2.11,270.9,2.8,1.1,7118,6743,7840,補欠,順張り,0.72,7.92
