code,name,sector,close,day_change,turnover,avg_range,vol_ratio,week_high,week_low,high52w,rank,type,sector_score,warning_flags,warning_label,sector_short_ratio,sector_short_status,sector_short_label,composite
6976,太陽誘電,電気機器,16630,6.23,4861.6,12.0,1.9,18345,13750,18345,厳選,順張り,7.01,[],,0.3308010457194605,空売り低位,📈業種空売り低位(33.1%),11.8
6779,日本電波工業,電気機器,4370,2.34,129.8,13.2,1.2,5010,3710,5010,厳選,順張り,3.12,[],,0.3308010457194605,空売り低位,📈業種空売り低位(33.1%),10.4
7532,パン・パシフィック・インターナショナルホールディングス,小売業,867,2.21,118.3,3.4,1.2,893,822,1038,厳選,順張り,2.84,[],,0.46523216083777835,中立,📊業種空売り中立(46.5%),10.24
7453,良品計画,小売業,3720,2.0,166.9,3.5,1.2,3819,3487,4105,厳選,順張り,2.63,[],,0.46523216083777835,中立,📊業種空売り中立(46.5%),10.03
5838,楽天銀行,銀行業,5104,7.18,161.2,5.9,1.0,5218,4688,7026,厳選,順張り,8.25,[],,0.3393069037667278,空売り低位,📈業種空売り低位(33.9%),10.0
6535,アイモバイル,サービス業,492,5.81,5.5,3.5,3.3,500,452,575,補欠,順張り,6.13,[],,0.3791300726621694,空売り低位,📈業種空売り低位(37.9%),9.875
3038,神戸物産,卸売業,2720,1.74,67.3,2.7,1.6,2848,2564,3834,補欠,順張り,2.17,[],,0.4425610385933356,中立,📊業種空売り中立(44.3%),8.735
9107,川崎汽船,海運業,2675,3.04,125.4,2.8,0.9,2839,2585,2964,補欠,順張り,1.58,[],,0.4204126831488359,中立,📊業種空売り中立(42.0%),8.379999999999999
9532,大阪瓦斯,電気・ガス業,5672,2.81,69.6,2.6,1.0,5675,5418,6705,補欠,順張り,2.82,[],,0.4906258676607761,中立,📊業種空売り中立(49.1%),8.3
7581,サイゼリヤ,小売業,5380,2.28,37.7,2.7,1.7,5400,5080,6890,補欠,順張り,2.91,[],,0.46523216083777835,中立,📊業種空売り中立(46.5%),8.195
