code,name,sector,close,day_change,turnover,avg_range,vol_ratio,week_high,week_low,high52w,rank,type,sector_score,warning_flags,warning_label,sector_short_ratio,sector_short_status,sector_short_label,composite
7721,東京計器,精密機器,6840,8.06,68.3,5.7,2.6,6940,5220,8520,厳選,順張り,6.92,[],,0.39138463713074007,空売り低位,📈業種空売り低位(39.1%),11.614999999999998
6954,ファナック,電気機器,7960,6.52,776.0,4.3,1.5,8164,7223,8880,厳選,順張り,5.36,[],,0.3581596701376849,空売り低位,📈業種空売り低位(35.8%),11.0
6871,日本マイクロニクス,電気機器,16760,8.62,227.2,7.1,1.2,17290,15100,17890,厳選,順張り,7.46,[],,0.3581596701376849,空売り低位,📈業種空売り低位(35.8%),10.4
6268,ナブテスコ,機械,5707,5.7,90.8,4.2,1.3,5737,5053,6113,厳選,順張り,4.18,[],,0.37829608318493857,空売り低位,📈業種空売り低位(37.8%),10.14
8136,サンリオ,卸売業,945,3.0,222.0,3.5,1.1,959,845,1082,厳選,順張り,2.9,[],,0.4119149129599084,中立,📊業種空売り中立(41.2%),10.1
3110,日東紡績,ガラス・土石製品,20680,6.05,354.4,7.7,0.7,22490,18850,32900,補欠,順張り,4.58,[],,0.44645502231002454,中立,📊業種空売り中立(44.6%),9.4
6981,村田製作所,電気機器,12250,4.26,3269.4,9.9,0.7,12895,10200,12895,補欠,順張り,3.1,[],,0.3581596701376849,空売り低位,📈業種空売り低位(35.8%),9.4
7220,武蔵精密工業,輸送用機器,4855,5.54,126.9,14.5,0.7,5730,4425,10550,補欠,順張り,5.28,[],,0.4456015583916482,中立,📊業種空売り中立(44.6%),9.4
4004,レゾナック・ホールディングス,化学,19325,5.08,489.3,6.4,0.7,19840,17630,20495,補欠,順張り,4.3,[],,0.40068013420411236,中立,📊業種空売り中立(40.1%),9.4
6594,ニデック,電気機器,2759,2.37,155.6,4.1,0.8,2919,2685,2922,補欠,順張り,1.22,['unclear_or_alert'],⚠️整理・注意,0.3581596701376849,空売り低位,📈業種空売り低位(35.8%),7.82
