code,name,sector,close,day_change,turnover,avg_range,vol_ratio,week_high,week_low,high52w,rank,type,sector_score,warning_flags,warning_label,sector_short_ratio,sector_short_status,sector_short_label,composite
5631,日本製鋼所,機械,7930,8.99,167.6,5.4,1.7,8143,7115,10305,厳選,順張り,7.92,[],,0.3767992119209316,空売り低位,📈業種空売り低位(37.7%),11.4
4676,フジ・メディア・ホールディングス,情報・通信業,4176,8.81,102.6,3.0,4.0,4272,3770,4466,厳選,順張り,-55.21,[],,0.4238893126020537,中立,📊業種空売り中立(42.4%),10.0
6702,富士通,電気機器,3591,3.04,313.9,3.7,0.8,3759,3455,3910,厳選,順張り,2.8,[],,0.3998090485804819,空売り低位,📈業種空売り低位(40.0%),9.4
7974,任天堂,その他製品,7524,3.47,813.4,3.4,0.9,7669,7077,10435,厳選,順張り,2.4,[],,0.35769087376540154,空売り低位,📈業種空売り低位(35.8%),9.2
4078,堺化学工業,化学,5460,5.81,45.1,7.3,1.6,6580,4900,6580,厳選,順張り,5.46,[],,0.3544945240623469,空売り低位,📈業種空売り低位(35.4%),8.455
9107,川崎汽船,海運業,2701,4.47,207.5,2.7,1.6,2716,2540,2964,補欠,順張り,1.02,[],,0.49416606497770377,中立,📊業種空売り中立(49.4%),9.22
9104,商船三井,海運業,5801,4.82,213.5,2.7,1.2,5856,5335,7325,補欠,順張り,1.38,[],,0.49416606497770377,中立,📊業種空売り中立(49.4%),8.78
6269,三井海洋開発,機械,10435,6.01,82.7,5.0,0.8,10620,9626,15925,補欠,順張り,4.95,[],,0.3767992119209316,空売り低位,📈業種空売り低位(37.7%),8.735
3092,ＺＯＺＯ,小売業,1060,2.96,73.3,2.9,0.9,1061,985,1203,補欠,順張り,2.72,[],,0.4879744308141126,中立,📊業種空売り中立(48.8%),8.185
6586,マキタ,機械,5538,3.11,57.9,2.5,1.2,5545,5168,6012,補欠,順張り,2.04,[],,0.3767992119209316,空売り低位,📈業種空売り低位(37.7%),7.334999999999999
