code,name,sector,close,day_change,turnover,avg_range,vol_ratio,week_high,week_low,high52w,rank,type,sector_score,composite
8058,三菱商事,卸売業,5219,4.59,2451.8,3.1,3.8,5445,4738,5787,厳選,順張り,4.23,15.6
7911,ＴＯＰＰＡＮホールディングス,その他製品,5080,9.25,165.3,3.8,1.9,5106,4415,5928,厳選,順張り,8.49,11.8
9501,東京電力ホールディングス,電気・ガス業,612,3.46,446.1,3.8,1.2,615,577,729,厳選,順張り,3.81,10.4
7731,ニコン,精密機器,1800,4.23,58.9,3.3,1.8,1808,1617,2050,厳選,順張り,5.27,9.545
3436,ＳＵＭＣＯ,金属製品,2533,2.3,309.3,5.9,1.0,2797,2153,2797,厳選,順張り,1.99,8.99
6080,Ｍ＆Ａキャピタルパートナーズ,サービス業,3275,1.71,19.6,2.8,4.3,3555,3150,3780,補欠,順張り,2.08,11.66
6141,ＤＭＧ森精機,機械,3000,2.28,98.9,3.0,2.2,3000,2646,3240,補欠,順張り,1.81,11.155000000000001
4043,トクヤマ,化学,4184,4.65,67.3,2.8,2.3,4253,3627,4476,補欠,順張り,4.78,10.965
3038,神戸物産,卸売業,2804,4.61,91.4,2.6,1.6,2824,2667,3905,補欠,順張り,4.24,10.77
6504,富士電機,電気機器,13180,0.73,202.5,3.6,1.6,13650,12000,13945,補欠,順張り,1.13,9.33
