code,name,sector,close,day_change,turnover,avg_range,vol_ratio,week_high,week_low,high52w,rank,type,sector_score,composite
6723,ルネサスエレクトロニクス,電気機器,2972,6.35,523.9,4.0,1.7,2981,2612,3138,厳選,順張り,5.12,11.4
6594,ニデック,電気機器,2408,6.17,179.3,3.2,1.4,2445,2177,2698,厳選,順張り,4.95,10.8
6954,ファナック,電気機器,6503,4.42,389.1,3.1,1.3,6564,6092,7175,厳選,順張り,3.19,10.6
4082,第一稀元素化学工業,化学,2545,9.09,36.6,5.1,2.8,2625,2046,4400,厳選,順張り,9.23,10.43
6740,ジャパンディスプレイ,電気機器,120,9.09,141.2,15.5,0.9,123,81,164,厳選,順張り,7.86,9.8
4519,中外製薬,医薬品,8844,5.93,286.1,2.9,1.3,8920,8306,10700,補欠,順張り,6.24,10.6
7201,日産自動車,輸送用機器,379,3.95,110.0,2.5,1.1,379,348,466,補欠,順張り,2.79,9.99
6301,小松製作所,機械,7000,4.48,234.0,2.8,0.9,7245,6700,7840,補欠,順張り,4.09,9.8
8766,東京海上ホールディングス,保険業,7175,3.49,522.1,2.7,0.9,7221,6822,7870,補欠,順張り,4.21,9.8
6479,ミネベアミツミ,電気機器,3092,4.83,80.8,2.8,1.2,3120,2835,3542,補欠,順張り,3.6,9.440000000000001
