code,name,sector,close,day_change,turnover,avg_range,vol_ratio,week_high,week_low,high52w,rank,type,sector_score,composite
6526,ソシオネクスト,電気機器,2002,7.09,524.7,4.2,3.9,2145,1795,2387,厳選,順張り,8.43,15.8
7011,三菱重工業,機械,4754,5.46,1568.7,3.2,1.4,4770,4362,5208,厳選,順張り,6.26,10.8
7012,川崎重工業,輸送用機器,3226,4.03,568.4,4.2,1.2,3236,2976,3766,厳選,順張り,5.1,10.4
7721,東京計器,精密機器,8080,2.28,56.6,4.7,2.1,8390,7070,9540,厳選,順張り,3.7,10.030000000000001
5631,日本製鋼所,機械,9755,2.79,110.7,4.0,1.0,9837,8968,10620,厳選,順張り,3.59,10.0
8303,ＳＢＩ新生銀行,銀行業,1747,6.85,199.9,2.6,2.9,1764,1611,2200,補欠,順張り,7.29,13.8
3103,ユニチカ,繊維製品,2851,0.56,644.3,16.4,1.5,4380,2656,4380,補欠,順張り,1.91,9.91
4028,石原産業,化学,3015,2.73,25.5,2.7,2.6,3030,2759,4035,補欠,順張り,3.61,9.475
6301,小松製作所,機械,6970,1.56,245.9,2.7,0.9,7039,6700,7840,補欠,順張り,2.36,9.16
4578,大塚ホールディングス,医薬品,10870,0.88,108.9,2.5,0.9,10875,10440,11610,補欠,順張り,1.27,8.07
