code,name,sector,close,day_change,turnover,avg_range,vol_ratio,week_high,week_low,high52w,rank,type,sector_score,composite
6754,アンリツ,電気機器,3974,5.83,314.1,3.7,4.9,4235,3521,4235,厳選,順張り,5.44,17.8
7868,広済堂ホールディングス,その他製品,583,7.96,71.3,3.3,9.8,640,498,640,厳選,順張り,6.11,16.565
6315,ＴＯＷＡ,機械,2870,4.67,295.1,4.3,3.6,3020,2542,3205,厳選,順張り,3.4,15.2
8308,りそなホールディングス,銀行業,2006,9.14,337.9,3.1,2.0,2006,1786,2193,厳選,順張り,3.04,12.0
1803,清水建設,建設業,3188,9.42,215.6,3.3,2.0,3188,2744,3618,厳選,順張り,2.28,11.28
6302,住友重機械工業,機械,5550,6.1,223.3,2.8,5.3,5780,4978,6362,補欠,順張り,4.83,18.0
9147,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,陸運業,4202,8.3,201.0,2.7,4.2,4580,3727,4580,補欠,順張り,6.92,16.4
6473,ジェイテクト,機械,1809,8.09,72.9,2.6,3.4,1934,1650,2160,補欠,順張り,6.83,13.445
9531,東京瓦斯,電気・ガス業,6937,7.17,199.6,2.8,2.3,6979,6360,7967,補欠,順張り,4.44,12.6
8303,ＳＢＩ新生銀行,銀行業,1821,5.75,314.9,2.7,3.9,1821,1611,2200,補欠,順張り,-0.36,12.44
