code,name,sector,close,day_change,turnover,avg_range,vol_ratio,week_high,week_low,high52w,rank,type,sector_score,warning_flags,warning_label,sector_short_ratio,sector_short_status,sector_short_label,composite
8136,サンリオ,卸売業,1005,7.89,851.9,4.6,2.9,1046,890,1079,厳選,順張り,7.34,[],,0.4080249482329798,中立,📊業種空売り中立(40.8%),13.8
7936,アシックス,その他製品,4524,6.55,250.5,3.6,1.7,4563,4108,5149,厳選,順張り,5.19,[],,0.41885568438876375,中立,📊業種空売り中立(41.9%),11.4
5016,ＪＸ金属,非鉄金属,4887,5.48,2065.3,6.3,1.6,5414,4502,5828,厳選,順張り,6.3,[],,0.38181955103929804,空売り低位,📈業種空売り低位(38.2%),11.2
3563,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,小売業,9883,4.63,173.2,4.2,1.5,9913,9153,11175,厳選,順張り,4.25,[],,0.47386303669924623,中立,📊業種空売り中立(47.4%),11.0
6323,ローツェ,機械,4836,8.6,100.0,6.2,1.2,5148,4355,5148,厳選,順張り,7.31,[],,0.4304965318914348,中立,📊業種空売り中立(43.0%),10.4
4661,オリエンタルランド,サービス業,2393,0.8,123.2,2.5,0.9,2408,2277,2768,補欠,順張り,0.51,[],,0.4073800924720865,中立,📊業種空売り中立(40.7%),7.3100000000000005
7911,ＴＯＰＰＡＮホールディングス,その他製品,5213,3.02,78.5,4.2,0.7,5324,4509,5706,補欠,順張り,1.67,[],,0.41885568438876375,中立,📊業種空売り中立(41.9%),6.994999999999999
6869,シスメックス,電気機器,1432,4.83,56.8,3.1,0.7,1435,1353,1553,補欠,順張り,2.33,[],,0.3889979651270184,空売り低位,📈業種空売り低位(38.9%),6.57
6324,ハーモニック・ドライブ・システムズ,機械,7900,0.89,110.7,7.8,0.8,8870,7420,8870,補欠,順張り,-0.39,[],,0.4304965318914348,中立,📊業種空売り中立(43.0%),6.21
6762,ＴＤＫ,電気機器,3908,2.41,427.4,5.6,0.6,4189,3766,4315,補欠,順張り,-0.09,[],,0.3889979651270184,空売り低位,📈業種空売り低位(38.9%),6.109999999999999
