code,name,sector,close,day_change,turnover,avg_range,vol_ratio,week_high,week_low,high52w,rank,type,sector_score,composite
6779,日本電波工業,電気機器,2032,3.73,100.1,6.1,4.5,2139,1597,2139,厳選,順張り,3.31,17.0
3436,ＳＵＭＣＯ,金属製品,2226,5.5,250.9,5.2,1.1,2450,2041,2450,厳選,順張り,4.85,10.2
6504,富士電機,電気機器,12060,2.38,100.7,3.2,1.1,12240,11455,13945,厳選,順張り,1.96,9.16
5857,ＡＲＥホールディングス,非鉄金属,3995,7.39,41.3,3.1,1.9,4045,3720,4720,厳選,順張り,5.93,8.865
7456,松田産業,卸売業,6950,9.11,20.0,3.3,2.1,6960,6270,8860,厳選,順張り,9.4,8.2
1813,不動テトラ,建設業,3110,4.89,11.9,2.8,5.8,3280,2951,4015,補欠,順張り,1.46,12.055000000000001
6702,富士通,電気機器,3883,3.46,369.6,2.5,1.1,3883,3524,4467,補欠,順張り,3.04,10.2
6098,リクルートホールディングス,サービス業,7853,2.99,441.4,2.8,1.1,7860,6960,8760,補欠,順張り,3.49,10.2
5262,日本ヒューム,ガラス・土石製品,1233,5.2,12.7,2.8,2.9,1250,1121,1729,補欠,順張り,4.36,9.435
6701,日本電気,電気機器,4431,2.4,385.9,2.7,1.2,4493,4156,5881,補欠,順張り,1.98,9.379999999999999
