code,name,sector,close,day_change,turnover,avg_range,vol_ratio,week_high,week_low,high52w,rank,type,sector_score,composite
6532,ベイカレント,サービス業,5618,6.0,220.0,3.5,2.1,5766,4386,6752,厳選,順張り,5.98,12.2
6723,ルネサスエレクトロニクス,電気機器,2795,1.07,419.5,3.9,1.5,2898,2531,3138,厳選,順張り,2.25,10.25
3110,日東紡績,ガラス・土石製品,27510,1.74,730.9,6.3,1.3,30950,26080,30950,厳選,順張り,2.25,9.85
6330,東洋エンジニアリング,建設業,2600,4.29,132.0,8.3,1.0,2680,2161,7290,厳選,順張り,1.71,8.71
2726,パルグループホールディングス,小売業,1553,4.37,26.3,3.1,1.7,1559,1420,1796,厳選,順張り,5.3,7.715
8308,りそなホールディングス,銀行業,1966,2.72,300.4,2.9,2.0,1966,1857,2193,補欠,順張り,3.6,12.0
4552,ＪＣＲファーマ,医薬品,616,7.88,12.6,2.7,3.6,643,547,713,補欠,順張り,8.64,10.83
6098,リクルートホールディングス,サービス業,7524,3.42,474.1,2.8,1.2,7614,6902,9377,補欠,順張り,3.4,10.4
6702,富士通,電気機器,3770,2.47,393.1,2.5,1.2,3812,3290,4581,補欠,順張り,3.66,10.4
7974,任天堂,その他製品,8615,3.5,923.2,2.8,1.1,8670,8132,10645,補欠,順張り,3.86,10.2
