code,name,sector,close,day_change,turnover,avg_range,vol_ratio,week_high,week_low,high52w,rank,type,sector_score,warning_flags,warning_label,sector_short_ratio,sector_short_status,sector_short_label,composite
8058,三菱商事,卸売業,5219,4.59,2451.8,3.1,3.8,5445,4738,5787,厳選,順張り,4.23,[],,0.4793530965204938,中立,📊業種空売り中立(47.9%),15.6
7911,ＴＯＰＰＡＮホールディングス,その他製品,5080,9.25,165.3,3.8,1.9,5106,4415,5928,厳選,順張り,8.49,[],,0.43012261051003725,中立,📊業種空売り中立(43.0%),11.8
9501,東京電力ホールディングス,電気・ガス業,612,3.46,446.1,3.8,1.2,615,577,729,厳選,順張り,3.81,[],,0.46708773970654077,中立,📊業種空売り中立(46.7%),10.4
7731,ニコン,精密機器,1800,4.23,58.9,3.3,1.8,1808,1617,2050,厳選,順張り,5.27,[],,0.37343124739717476,空売り低位,📈業種空売り低位(37.3%),9.545
3436,ＳＵＭＣＯ,金属製品,2533,2.3,309.3,5.9,1.0,2797,2153,2797,厳選,順張り,1.99,[],,0.4620930656983465,中立,📊業種空売り中立(46.2%),8.99
6080,Ｍ＆Ａキャピタルパートナーズ,サービス業,3275,1.71,19.6,2.8,4.3,3555,3150,3780,補欠,順張り,2.08,[],,0.4369181748658597,中立,📊業種空売り中立(43.7%),11.66
6141,ＤＭＧ森精機,機械,3000,2.28,98.9,3.0,2.2,3000,2646,3240,補欠,順張り,1.81,[],,0.45323946531889586,中立,📊業種空売り中立(45.3%),11.155000000000001
4043,トクヤマ,化学,4184,4.65,67.3,2.8,2.3,4253,3627,4476,補欠,順張り,4.78,[],,0.4220891644557278,中立,📊業種空売り中立(42.2%),10.965
3038,神戸物産,卸売業,2804,4.61,91.4,2.6,1.6,2824,2667,3905,補欠,順張り,4.24,[],,0.4793530965204938,中立,📊業種空売り中立(47.9%),10.77
6504,富士電機,電気機器,13180,0.73,202.5,3.6,1.6,13650,12000,13945,補欠,順張り,1.13,[],,0.36222850776573895,空売り低位,📈業種空売り低位(36.2%),9.33
