code,name,sector,close,day_change,turnover,avg_range,vol_ratio,week_high,week_low,high52w,rank,type,sector_score,warning_flags,warning_label,sector_short_ratio,sector_short_status,sector_short_label,composite
6315,ＴＯＷＡ,機械,3400,6.25,156.2,7.2,1.1,3410,2942,3735,厳選,順張り,4.59,[],,0.4642795399744531,中立,📊業種空売り中立(46.4%),10.2
6361,荏原製作所,機械,6230,5.93,201.9,5.0,1.0,6288,5586,6890,厳選,順張り,4.27,[],,0.4642795399744531,中立,📊業種空売り中立(46.4%),10.0
4062,イビデン,電気機器,19340,7.56,1674.4,9.1,0.9,20670,17030,27480,厳選,順張り,5.71,[],,0.3528243467178101,空売り低位,📈業種空売り低位(35.3%),9.8
6857,アドバンテスト,電気機器,31510,5.83,2454.5,5.6,0.9,31550,28230,35940,厳選,順張り,3.97,[],,0.3528243467178101,空売り低位,📈業種空売り低位(35.3%),9.8
7201,日産自動車,輸送用機器,317,3.9,116.6,3.1,1.1,317,303,417,厳選,順張り,2.55,[],,0.511081481262198,中立,📊業種空売り中立(51.1%),9.75
3276,ＪＰＭＣ,不動産業,1721,3.93,7.0,2.7,4.2,1827,1414,1827,補欠,順張り,3.03,[],,0.3372858551640235,空売り低位,📈業種空売り低位(33.7%),11.75
5803,フジクラ,非鉄金属,5145,7.19,1686.7,6.4,0.7,5437,4564,7933,補欠,順張り,4.85,[],,0.49022033928021297,中立,📊業種空売り中立(49.0%),9.4
6525,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,電気機器,10850,4.78,642.7,8.1,0.7,11475,9751,12220,補欠,順張り,2.92,[],,0.3528243467178101,空売り低位,📈業種空売り低位(35.3%),9.32
5016,ＪＸ金属,非鉄金属,4134,6.08,802.4,6.6,0.6,4148,3698,5828,補欠,順張り,3.74,[],,0.49022033928021297,中立,📊業種空売り中立(49.0%),9.2
5801,古河電気工業,非鉄金属,3766,6.99,624.2,7.5,0.6,3933,3357,6241,補欠,順張り,4.65,[],,0.49022033928021297,中立,📊業種空売り中立(49.0%),9.2
