code,name,sector,close,day_change,turnover,avg_range,vol_ratio,week_high,week_low,high52w,rank,type,sector_score,warning_flags,warning_label,sector_short_ratio,sector_short_status,sector_short_label,composite
6779,日本電波工業,電気機器,2737,8.65,69.0,6.0,3.1,3015,2491,5010,厳選,順張り,7.87,[],,0.41433342390241823,中立,📊業種空売り中立(41.4%),12.649999999999999
9984,ソフトバンクグループ,情報・通信業,6810,3.87,7142.6,5.0,2.3,6959,4933,7562,厳選,順張り,5.12,[],,0.43224586064791076,中立,📊業種空売り中立(43.2%),12.6
7013,ＩＨＩ,機械,2800,6.0,492.5,3.5,1.3,2826,2568,3150,厳選,順張り,5.24,[],,0.41325114484966213,中立,📊業種空売り中立(41.3%),10.6
4062,イビデン,電気機器,21420,2.93,2484.1,6.3,1.4,22370,19270,27480,厳選,順張り,2.15,[],,0.41433342390241823,中立,📊業種空売り中立(41.4%),9.95
5803,フジクラ,非鉄金属,5493,8.07,2767.0,5.3,0.9,5589,4897,7068,厳選,順張り,4.05,[],,0.4125955680654902,中立,📊業種空売り中立(41.3%),9.8
7011,三菱重工業,機械,3813,2.83,563.6,2.8,0.9,3863,3680,4439,補欠,順張り,2.07,[],,0.41325114484966213,中立,📊業種空売り中立(41.3%),8.870000000000001
1801,大成建設,建設業,13340,1.48,110.5,2.7,1.2,13390,12380,15425,補欠,順張り,0.66,[],,0.40470109364267337,中立,📊業種空売り中立(40.5%),8.06
5711,三菱マテリアル,非鉄金属,5386,5.46,109.3,4.6,0.7,5509,5085,6139,補欠,順張り,1.45,[],,0.4125955680654902,中立,📊業種空売り中立(41.3%),7.85
4004,レゾナック・ホールディングス,化学,16070,2.52,256.8,5.0,0.7,16715,15285,19840,補欠,順張り,1.45,['jsf_restricted'],⚠️日証金規制,0.3780756769189631,空売り低位,📈業種空売り低位(37.8%),7.85
1893,五洋建設,建設業,1510,3.71,44.7,2.6,1.3,1528,1420,1866,補欠,順張り,2.89,[],,0.40470109364267337,中立,📊業種空売り中立(40.5%),7.7250000000000005
