code,name,sector,close,day_change,turnover,avg_range,vol_ratio,week_high,week_low,high52w,rank,type,sector_score,warning_flags,warning_label,sector_short_ratio,sector_short_status,sector_short_label,composite
7717,ブイ・テクノロジー,精密機器,8430,8.35,108.0,8.2,3.5,9090,6040,9090,厳選,順張り,7.97,[],,0.3627637933278294,空売り低位,📈業種空売り低位(36.3%),15.0
5016,ＪＸ金属,非鉄金属,4747,8.63,2667.3,5.7,2.4,4779,3735,5828,厳選,順張り,7.07,[],,0.3715793412903033,空売り低位,📈業種空売り低位(37.2%),12.8
7721,東京計器,精密機器,6330,4.28,65.8,5.4,2.9,6510,5160,8520,厳選,順張り,3.9,[],,0.3627637933278294,空売り低位,📈業種空売り低位(36.3%),12.09
5805,ＳＷＣＣ,非鉄金属,14370,2.86,197.5,6.1,2.6,16030,12540,19570,厳選,順張り,1.3,[],,0.3715793412903033,空売り低位,📈業種空売り低位(37.2%),11.5
7649,スギホールディングス,小売業,3137,3.29,64.4,3.1,2.4,3167,2892,3751,厳選,順張り,3.78,[],,0.4198971595533819,中立,📊業種空売り中立(42.0%),11.02
4151,協和キリン,医薬品,2537,1.3,105.1,2.5,2.7,2537,2364,2714,補欠,順張り,2.72,[],,0.35224496822392487,空売り低位,📈業種空売り低位(35.2%),13.120000000000001
5020,ＥＮＥＯＳホールディングス,石油・石炭製品,1264,3.06,260.7,2.9,2.2,1278,1192,1519,補欠,順張り,3.0,[],,0.4092049138245394,中立,📊業種空売り中立(40.9%),12.4
8804,東京建物,不動産業,3356,0.96,92.2,2.8,2.2,3448,3247,3922,補欠,順張り,0.7,[],,0.3644142299935336,空売り低位,📈業種空売り低位(36.4%),9.71
9020,東日本旅客鉄道,陸運業,3415,0.65,218.9,2.5,1.8,3455,3313,3844,補欠,順張り,0.73,[],,0.4728450002060991,中立,📊業種空売り中立(47.3%),9.33
4661,オリエンタルランド,サービス業,2336,1.59,167.7,2.6,1.2,2336,2220,2768,補欠,順張り,1.91,[],,0.34491805390358227,空売り低位,📈業種空売り低位(34.5%),9.309999999999999
