code,name,sector,close,day_change,turnover,avg_range,vol_ratio,week_high,week_low,high52w,rank,type,sector_score,composite
7003,三井Ｅ＆Ｓ,機械,6000,5.06,591.3,4.8,2.1,6179,5435,8438,厳選,順張り,5.89,12.2
6368,オルガノ,機械,15825,2.69,87.1,3.3,2.3,16280,15155,18260,厳選,順張り,3.52,11.954999999999998
5805,ＳＷＣＣ,非鉄金属,15740,7.96,101.5,4.3,1.9,15790,13640,17900,厳選,順張り,8.7,11.8
6361,荏原製作所,機械,5471,6.5,245.2,4.0,1.5,5471,4933,5919,厳選,順張り,7.33,11.0
6532,ベイカレント,サービス業,6000,4.44,153.2,3.6,1.3,6030,5287,6378,厳選,順張り,5.17,10.6
4028,石原産業,化学,2935,5.96,37.0,2.7,4.2,2988,2759,4035,補欠,順張り,7.24,13.25
6701,日本電気,電気機器,4524,2.1,319.3,2.7,1.0,4530,4276,5869,補欠,順張り,2.61,9.61
6098,リクルートホールディングス,サービス業,7953,1.27,537.2,2.8,1.3,8011,7241,8706,補欠,順張り,2.0,9.6
4519,中外製薬,医薬品,8760,0.76,250.6,3.0,1.2,8920,8306,10700,補欠,順張り,2.12,9.52
3436,ＳＵＭＣＯ,金属製品,2241,0.67,297.9,5.3,1.3,2450,2041,2450,補欠,順張り,1.83,9.43
