code,name,sector,close,day_change,turnover,avg_range,vol_ratio,week_high,week_low,high52w,rank,type,sector_score,warning_flags,warning_label,sector_short_ratio,sector_short_status,sector_short_label,composite
6098,リクルートホールディングス,サービス業,16485,6.35,872.9,3.4,1.2,16485,15225,18215,厳選,順張り,4.03,[],,0.3676069416268015,空売り低位,📈業種空売り低位(36.8%),10.4
3994,マネーフォワード,情報・通信業,6365,7.14,47.4,5.0,1.2,6404,5755,7050,厳選,順張り,4.97,"['jsf_caution', 'overheating']",⚠️日証金注意喚起(信用倍率675.2倍),0.43224586064791076,中立,📊業種空売り中立(43.2%),7.7700000000000005
3697,ＳＨＩＦＴ,情報・通信業,884,6.03,44.4,3.9,1.1,888,814,1021,厳選,順張り,3.86,"['jsf_caution', 'overheating']",⚠️日証金注意喚起(信用倍率42.5倍),0.43224586064791076,中立,📊業種空売り中立(43.2%),7.42
3923,ラクス,情報・通信業,1097,7.39,25.6,3.5,1.2,1097,995,1209,厳選,順張り,5.22,[],,0.43224586064791076,中立,📊業種空売り中立(43.2%),6.680000000000001
4443,Ｓａｎｓａｎ,情報・通信業,2110,7.6,27.2,4.1,1.1,2119,1937,2355,厳選,順張り,5.43,[],,0.43224586064791076,中立,📊業種空売り中立(43.2%),6.5600000000000005
6701,日本電気,電気機器,4849,6.9,374.4,2.8,1.2,4854,4426,5169,補欠,順張り,6.68,[],,0.41433342390241823,中立,📊業種空売り中立(41.4%),10.4
4307,野村総合研究所,情報・通信業,5206,6.22,135.6,2.5,1.1,5222,4753,5620,補欠,順張り,4.05,[],,0.43224586064791076,中立,📊業種空売り中立(43.2%),10.2
6532,ベイカレント,サービス業,7691,4.82,95.3,2.9,1.2,7740,7106,8270,補欠,順張り,2.5,[],,0.3676069416268015,空売り低位,📈業種空売り低位(36.8%),9.665
3064,ＭｏｎｏｔａＲＯ,小売業,1992,4.51,55.8,2.5,1.5,2027,1860,2131,補欠,順張り,3.17,[],,0.41629078218038734,中立,📊業種空売り中立(41.6%),8.79
9766,コナミグループ,情報・通信業,21560,4.0,94.1,2.5,0.9,21780,20210,22980,補欠,順張り,1.83,[],,0.43224586064791076,中立,📊業種空売り中立(43.2%),8.335
