Datetime,Open,High,Low,Close,Volume,Dividends,Stock,VWAP,MACD,Signal,Hist,VolMA5
2026-06-11 09:05:00+09:00,3452.0,3479.0,3446.0,3462.0,209800,0.0,0.0,3462.3333333333335,0.0,0.0,0.0,
2026-06-11 09:10:00+09:00,3462.0,3475.0,3447.0,3467.0,220000,0.0,0.0,3462.6745773227863,0.112179487179219,0.062321937321788326,0.04985754985743067,
2026-06-11 09:15:00+09:00,3468.0,3502.0,3463.0,3502.0,284600,0.0,0.0,3473.1620007465476,1.228286838531858,0.5401764050308332,0.6881104335010247,
2026-06-11 09:20:00+09:00,3501.0,3518.0,3497.0,3502.0,221300,0.0,0.0,3480.8495956681277,1.7058121497425418,0.9350394621824959,0.7707726875600459,
2026-06-11 09:25:00+09:00,3501.0,3512.0,3485.0,3499.0,198500,0.0,0.0,3483.967818726856,1.8100037173767305,1.19532154666436,0.6146821707123704,226840.0
2026-06-11 09:30:00+09:00,3499.0,3511.0,3492.0,3497.0,185000,0.0,0.0,3486.2161158277745,1.7530937560241,1.3465088269357788,0.4065849290883212,221880.0
2026-06-11 09:35:00+09:00,3497.0,3514.0,3492.0,3503.0,143100,0.0,0.0,3487.8585789509675,1.9582105244694503,1.5013142078652033,0.456896316604247,206500.0
2026-06-11 09:40:00+09:00,3504.0,3526.0,3498.0,3518.0,134100,0.0,0.0,3490.0544976196443,2.777659320132443,1.8080439400181771,0.969615380114266,176400.0
2026-06-11 09:45:00+09:00,3518.0,3550.0,3517.0,3547.0,145700,0.0,0.0,3494.064405028414,4.741644491943134,2.485720221180228,2.255924270762906,161280.0
2026-06-11 09:50:00+09:00,3548.0,3560.0,3539.0,3542.0,126600,0.0,0.0,3497.6506662385614,5.808310613983394,3.230173345275743,2.5781372687076516,146900.0
2026-06-11 09:55:00+09:00,3541.0,3551.0,3532.0,3538.0,104500,0.0,0.0,3499.9111257517397,6.284541408942914,3.898451625142253,2.386089783800661,130800.0
2026-06-11 10:00:00+09:00,3540.0,3572.0,3540.0,3566.0,113600,0.0,0.0,3503.1459171937895,8.086256922025768,4.797816573140065,3.288440348885703,124900.0
2026-06-11 10:05:00+09:00,3566.0,3574.0,3560.0,3573.0,79100,0.0,0.0,3505.5509487972668,9.71060761937406,5.837533843822613,3.873073775551446,113900.0
2026-06-11 10:10:00+09:00,3573.0,3591.0,3572.0,3587.0,101800,0.0,0.0,3509.0427011215475,11.61172162660614,7.045498236193359,4.566223390412781,105120.0
2026-06-11 10:15:00+09:00,3588.0,3595.0,3577.0,3588.0,135200,0.0,0.0,3513.410240403956,12.956634240165386,8.27083825618654,4.685795983978846,106840.0
2026-06-11 10:20:00+09:00,3589.0,3589.0,3576.0,3583.0,83600,0.0,0.0,3515.738749245928,13.51104648443652,9.349234044784586,4.161812439651934,102660.0
2026-06-11 10:25:00+09:00,3583.0,3594.0,3581.0,3592.0,83000,0.0,0.0,3518.1052344814166,14.323153081255896,10.36693442739842,3.9562186538574764,96540.0
2026-06-11 10:30:00+09:00,3592.0,3592.0,3577.0,3580.0,79600,0.0,0.0,3520.0551885546033,14.012662957938119,11.109456216924864,2.903206741013255,96640.0
2026-06-11 10:35:00+09:00,3579.0,3579.0,3566.0,3573.0,103100,0.0,0.0,3522.026063997287,13.154567690628937,11.52445933693491,1.6301083536940268,96900.0
2026-06-11 10:40:00+09:00,3572.0,3579.0,3566.0,3578.0,66800,0.0,0.0,3523.265555161405,12.66037536907288,11.754292337450128,0.906083031622753,83220.0
