セクター,前日比
自動車・輸送機,2.3738872403560833
エネルギー資源,2.0185029436501263
金融（除く銀行）,1.7377970866342958
情報通信・サービス,1.5659955257270695
小売,0.5047672462142456
運輸・物流,0.35850860420650094
銀行,0.3204194581998252
商社・卸売,0.23640043060600735
電力・ガス,-0.0839278220730172
食品,-0.37215411558669004
医薬品,-0.5895840157222404
電機・精密,-1.019904589570653
不動産,-1.4878184861446904
建設・資材,-2.2132796780684103
素材・化学,-2.3691746940900806
機械,-3.097974822112753
鉄鋼・非鉄,-5.280103026400515
