項目,結果
日経平均前日比,-2.85%
1.日経-2%ルール,NG
日経先物,64655円（-0.15%）
5.先物-1%ルール,OK
TOPIX前日比,+0.48%
TOPIX-2%ルール,OK
6.日経TOPIX乖離,OK
NYダウ前日比,1.18%
2.米国株-1.5%ルール,OK
ドル円,156.00円(変動2.93円)
3.為替2円ルール,NG
VIX,14.3
4.VIX25ルール,OK
今日の推奨方向,🟢 BUY有利（信頼度：中）
方向根拠,日本下落・米国上昇→買い戻し有利（BUY_ADV率62%・買い勝率100%）
総合判定,[RED] 新規エントリー禁止
警告,日経-2.9%下落 / 為替2.9円急変
