項目,結果
日経平均前日比,-1.89%
1.日経-2%ルール,OK
日経先物,66755円（+5.40%）
5.先物-1%ルール,OK
TOPIX前日比,-0.30%
TOPIX-2%ルール,OK
6.日経TOPIX乖離,OK
NYダウ前日比,1.86%
2.米国株-1.5%ルール,OK
ドル円,159.99円(変動0.54円)
3.為替2円ルール,OK
VIX,19.4
4.VIX25ルール,OK
今日の推奨方向,🟢 BUY有利（信頼度：中）
方向根拠,日本下落・米国上昇→買い戻し有利（BUY_ADV率62%・買い勝率100%）
総合判定,[GREEN] 新規エントリー可能
