セクター,前日比
鉄鋼・非鉄,3.8917525773195876
エネルギー資源,3.4814605151429383
商社・卸売,2.907396240510496
建設・資材,2.6195673744790633
金融（除く銀行）,1.9235836627140974
銀行,1.7175007403020432
素材・化学,1.0138740661686232
情報通信・サービス,0.8158220024721878
電機・精密,0.3478548948153056
電力・ガス,0.29239766081871343
不動産,0.26595744680851063
医薬品,-0.16469038208168643
機械,-0.46451334125526633
運輸・物流,-0.5976571838393497
自動車・輸送機,-0.7416563658838072
食品,-1.689337428696797
小売,-2.100954979536153
