項目,結果
日経平均前日比,2.12%
1.日経-2%ルール,OK
日経先物,65030円（-1.20%）
5.先物-1%ルール,NG
TOPIX前日比,-1.67%
TOPIX-2%ルール,OK
6.日経TOPIX乖離,NG
NYダウ前日比,-1.18%
2.米国株-1.5%ルール,OK
ドル円,153.50円(変動0.35円)
3.為替2円ルール,OK
VIX,15.7
4.VIX25ルール,OK
今日の推奨方向,🔴 SELL推奨（信頼度：高）
方向根拠,日本上昇・米国下落→出尽くし売り（SELL_ADV率64%・売り勝率100%）
総合判定,[RED] 新規エントリー禁止
警告,先物-1.2%下落 / 大型株偏重：日経+2.1% / TOPIX-1.7%
