項目,結果
日経平均前日比,-1.31%
1.日経-2%ルール,OK
日経先物,63925円（-0.14%）
5.先物-1%ルール,OK
TOPIX前日比,-0.19%
TOPIX-2%ルール,OK
6.日経TOPIX乖離,OK
NYダウ前日比,-1.35%
2.米国株-1.5%ルール,OK
ドル円,160.33円(変動0.34円)
3.為替2円ルール,OK
VIX,21.5
4.VIX25ルール,OK
今日の推奨方向,🟢 BUY推奨（信頼度：高）
方向根拠,両市場大幅下落→自律反発狙い（BUY_ADV率90%・買い勝率89%）
総合判定,[GREEN] 新規エントリー可能
