項目,結果
日経平均前日比,-1.10%
1.日経-2%ルール,OK
日経先物,65740円（-0.05%）
5.先物-1%ルール,OK
TOPIX前日比,+0.30%
TOPIX-2%ルール,OK
6.日経TOPIX乖離,OK
NYダウ前日比,-0.70%
2.米国株-1.5%ルール,OK
ドル円,159.74円(変動0.38円)
3.為替2円ルール,OK
VIX,14.9
4.VIX25ルール,OK
今日の推奨方向,🟡 BUY寄り（信頼度：低）
方向根拠,両市場小幅下落→自律反発期待（BUY_ADV率55%）
総合判定,[GREEN] 新規エントリー可能
