項目,結果
日経平均前日比,1.47%
1.日経-2%ルール,OK
日経先物,69880円（+2.13%）
5.先物-1%ルール,OK
TOPIX前日比,+1.38%
TOPIX-2%ルール,OK
6.日経TOPIX乖離,OK
NYダウ前日比,1.14%
2.米国株-1.5%ルール,OK
ドル円,161.40円(変動0.05円)
3.為替2円ルール,OK
VIX,15.8
4.VIX25ルール,OK
今日の推奨方向,🔴 SELL有利（信頼度：中）
方向根拠,両市場上昇→出尽くし売り有利（SELL_ADV率58%・売り勝率94%）
総合判定,[GREEN] 新規エントリー可能
