項目,結果
日経平均前日比,4.03%
1.日経-2%ルール,OK
日経先物,63585円（+0.40%）
5.先物-1%ルール,OK
TOPIX前日比,-1.33%
TOPIX-2%ルール,OK
6.日経TOPIX乖離,NG
NYダウ前日比,1.32%
2.米国株-1.5%ルール,OK
ドル円,157.30円(変動2.88円)
3.為替2円ルール,NG
VIX,15.9
4.VIX25ルール,OK
今日の推奨方向,🔴 SELL有利（信頼度：中）
方向根拠,両市場上昇→出尽くし売り有利（SELL_ADV率58%・売り勝率94%）
総合判定,[RED] 新規エントリー禁止
警告,大型株偏重：日経+4.0% / TOPIX-1.3% / 為替2.9円急変
