セクター,前日比
商社・卸売,1.3518611597963721
建設・資材,0.8039303260384101
医薬品,0.648508430609598
不動産,0.5691056910569106
自動車・輸送機,0.28034763106251753
機械,0.08309591642924977
情報通信・サービス,-0.042354934349851756
電機・精密,-0.0781005935645111
食品,-0.10135819987837015
小売,-0.10504201680672269
運輸・物流,-0.1799370220422852
電力・ガス,-0.20815986677768525
銀行,-0.37612838515546637
鉄鋼・非鉄,-0.4620360388110273
エネルギー資源,-0.47927826332111645
素材・化学,-0.4838709677419355
金融（除く銀行）,-0.5255613951266125
